name	line	PID	field	robust	moswt	type	bmaj	bmin	vis	spw	thresh	velwid	viswid	TP	origMS	origspw	TODO	
GMC1	12CO10	2016.1.00193	GMC1 	1.5	F	12p7	2.3	2.1	['2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/TM_X3f1/uid___A002_Xbc6682_X73b_targets_line.ms','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/TM_X3f1/uid___A002_Xbc6682_Xb75_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/TM_X3f1/uid___A002_Xbc7c73_X753_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xb8e961_X15fd_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xb95160_Xc20f_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xb95160_Xc755_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xb9fa0c_X2152_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xba0af7_X1d31_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xba0af7_X2639_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xba0af7_X73fa_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xba0af7_X77ed_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xba2b1d_X198f_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xba2b1d_X20fa_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xba2b1d_X253a_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xba6edb_X1455_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xba6edb_X74f1_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3ef_GMC1_12CO10/7M_X3f3/uid___A002_Xbabd27_X248b_targets_line.ms/']	['25','25','25','16','16','16','16','16','16','16','16','16','16','16','16','16','16']	0.02	0.2	0.08	x	noisy magma		still bowls--but don't think it'll get better	
GMC1	13CO10	2016.1.00193	GMC1 	0.5	F	12	3.1	2.6	['2016.1.00193.wong/B3_uid___A001_X87a_X3e7_GMC1_13CO10/TM_X3e9/uid___A002_Xbcb16f_X3f34_targets_line.ms','2016.1.00193.wong/B3_uid___A001_X87a_X3e7_GMC1_13CO10/TM_X3e9/uid___A002_Xbcb16f_Xeeb_targets_line.ms/']	['27','27']	0.01	0.2	0.08	x				
GMC1	CS21	2016.1.00193	GMC1 	0.5	F	12	3.5	2.9	['2016.1.00193.wong/B3_uid___A001_X87a_X3e7_GMC1_13CO10/TM_X3e9/uid___A002_Xbcb16f_X3f34_targets_line.ms','2016.1.00193.wong/B3_uid___A001_X87a_X3e7_GMC1_13CO10/TM_X3e9/uid___A002_Xbcb16f_Xeeb_targets_line.ms/']	["31","31"]	0.01	0.2	0.08	x				
GMC1	C18O10	2016.1.00193	GMC1 	0.5	F	12	3.1	2.6	['2016.1.00193.wong/B3_uid___A001_X87a_X3e7_GMC1_13CO10/TM_X3e9/uid___A002_Xbcb16f_X3f34_targets_line.ms','2016.1.00193.wong/B3_uid___A001_X87a_X3e7_GMC1_13CO10/TM_X3e9/uid___A002_Xbcb16f_Xeeb_targets_line.ms/']	['25','25']	0.02	0.2	0.08	x				
GMC1	cont3mm	2016.1.00193	GMC1 	0.5	F	12	3.1	2.6	['2016.1.00193.wong/B3_uid___A001_X87a_X3e7_GMC1_13CO10/TM_X3e9/uid___A002_Xbcb16f_X3f34_targets.ms','2016.1.00193.wong/B3_uid___A001_X87a_X3e7_GMC1_13CO10/TM_X3e9/uid___A002_Xbcb16f_Xeeb_targets.ms/']	['29:107.9GHz~109.68GHz','29:107.9GHz~109.68GHz']	0.001	0.2	0.08	x				
GMC104	12CO10	2016.1.00193	GMC104	1.5	F	12p7	2.4	2.3	['2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/TM_X3f7/uid___A002_Xbc7c73_Xc36_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/TM_X3f7/uid___A002_Xbc8613_X722_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/7M_X3f9/uid___A002_Xbad2b0_X399f_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/7M_X3f9/uid___A002_Xbadc30_X1839_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/7M_X3f9/uid___A002_Xbadc30_X232f_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/7M_X3f9/uid___A002_Xbae7da_X1c0_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/7M_X3f9/uid___A002_Xbae7da_X56e_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/7M_X3f9/uid___A002_Xbae7da_X9d0_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/7M_X3f9/uid___A002_Xbaedce_X2463_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/7M_X3f9/uid___A002_Xbaedce_X2f0e_target.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3f5_GMC104_12CO10/7M_X3f9/uid___A002_Xbb0685_Xdc9_target.ms/']	['25','25','16','16','16','16','16','16','16','16','16']	0.03	0.2	0.08	x	noisy magma		still bowls--but don't think it'll get better	
GMC104	13CO10	2016.1.00193	GMC104	0.5	F	12	3.2	2.2	['2016.1.00193.wong/B3_uid___A001_X87a_X3a3_GMC104_13CO10/TM_X3a5/uid___A002_Xbcde4a_X30e_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3a3_GMC104_13CO10/TM_X3a5/uid___A002_Xbcef34_X36c_targets_line.ms/']	['27','27']	0.01	0.2	0.08	x				
GMC104	CS21	2016.1.00193	GMC104	0.5	F	12	3.7	2.4	['2016.1.00193.wong/B3_uid___A001_X87a_X3a3_GMC104_13CO10/TM_X3a5/uid___A002_Xbcde4a_X30e_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3a3_GMC104_13CO10/TM_X3a5/uid___A002_Xbcef34_X36c_targets_line.ms/']	["31","31"]	0.01	0.2	0.08	x				
GMC104	C18O10	2016.1.00193	GMC104	0.5	F	12	3.3	2.2	['2016.1.00193.wong/B3_uid___A001_X87a_X3a3_GMC104_13CO10/TM_X3a5/uid___A002_Xbcde4a_X30e_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3a3_GMC104_13CO10/TM_X3a5/uid___A002_Xbcef34_X36c_targets_line.ms/']	['25','25']	0.01	0.2	0.08	x				
GMC104	cont3mm	2016.1.00193	GMC104	0.5	F	12	3.2	2.2	['2016.1.00193.wong/B3_uid___A001_X87a_X3a3_GMC104_13CO10/TM_X3a5/uid___A002_Xbcde4a_X30e_targets.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3a3_GMC104_13CO10/TM_X3a5/uid___A002_Xbcef34_X36c_targets.ms/']	['29:107.9GHz~109.68GHz','29:107.9GHz~109.68GHz']	0.001	0.2	0.08	x				
